source,target,weight,edge_count
ARGENTINA,CROATIA,1.540330630425738,1
ARGENTINA,MEXICO,1.4415853122750255,1
ARGENTINA,POLAND,0.8593186910177244,1
AUSTRALIA,ARGENTINA,0.1482842072379809,1
AUSTRALIA,DENMARK,0.8693923075671025,1
AUSTRALIA,FRANCE,0.07489674740003177,1
AUSTRALIA,TUNISIA,0.583168572128166,1
BELGIUM,CANADA,0.5908639543862478,1
BRAZIL,KOREA REPUBLIC,0.4641247029968631,1
BRAZIL,SERBIA,0.8472869107649195,1
BRAZIL,SWITZERLAND,0.9402838081583855,1
CAMEROON,BRAZIL,0.6973049283564725,1
CAMEROON,SERBIA,0.4518993561988992,1
COSTA RICA,GERMANY,0.6473319521520934,1
COSTA RICA,JAPAN,1.040291529354358,1
CROATIA,BELGIUM,0.10201985272597633,1
CROATIA,BRAZIL,0.10435345736832483,1
CROATIA,CANADA,1.1823105037802595,1
CROATIA,MOROCCO,0.2039698915127961,2
DENMARK,TUNISIA,0.28693083579180834,1
ECUADOR,QATAR,1.5720506141752655,1
ENGLAND,IRAN,0.31609635071634706,1
ENGLAND,SENEGAL,1.5041886917081788,1
ENGLAND,UNITED STATES,0.18411395296641037,1
ENGLAND,WALES,1.0319365965768186,1
FRANCE,ARGENTINA,0.5096710520237056,1
FRANCE,DENMARK,0.11853705689935615,1
FRANCE,ENGLAND,0.672429744751651,1
FRANCE,MOROCCO,1.121173699453263,1
FRANCE,POLAND,0.5378203090557444,1
GHANA,KOREA REPUBLIC,1.1919227015439855,1
IRAN,WALES,0.7873831629691281,1
JAPAN,CROATIA,0.1562814725561136,1
JAPAN,GERMANY,0.8646535116513911,1
JAPAN,SPAIN,1.2996625611929757,1
KOREA REPUBLIC,PORTUGAL,0.5685925722576132,1
MEXICO,POLAND,0.19220687397592293,1
MEXICO,SAUDI ARABIA,0.06755566003930596,1
MOROCCO,BELGIUM,0.8365144545769749,1
MOROCCO,CANADA,1.1687323437033859,1
MOROCCO,PORTUGAL,0.6836967493543913,1
MOROCCO,SPAIN,0.4451106555231899,1
NETHERLANDS,ARGENTINA,0.6952346335174883,1
NETHERLANDS,ECUADOR,1.078315150214988,1
NETHERLANDS,QATAR,0.23021284787526666,1
NETHERLANDS,SENEGAL,1.0461623881002278,1
NETHERLANDS,UNITED STATES,1.0127669477140029,1
POLAND,SAUDI ARABIA,1.180798541054161,1
PORTUGAL,GHANA,0.0331861590423901,1
PORTUGAL,SWITZERLAND,1.4847938815161217,1
PORTUGAL,URUGUAY,0.6367776813421756,1
SAUDI ARABIA,ARGENTINA,1.922792569521064,1
SENEGAL,ECUADOR,0.2810429023861015,1
SENEGAL,QATAR,0.6701023983346411,1
SPAIN,COSTA RICA,1.8667450789759854,1
SPAIN,GERMANY,0.0418131542827455,1
SWITZERLAND,CAMEROON,0.4032401880542066,1
SWITZERLAND,SERBIA,0.35471038836884355,1
TUNISIA,FRANCE,0.9140253158964358,1
UNITED STATES,IRAN,0.4272103545477733,1
UNITED STATES,WALES,0.05444207386569314,1
URUGUAY,GHANA,0.7992033278584834,1
URUGUAY,KOREA REPUBLIC,0.0,1
