match_id,source,target,weight,raw_score_team1_minus_team2,network,date,stage,goals_per_attempt_z_diff,goals_per_on_target_z_diff,shot_accuracy_z_diff,goals_per_completed_pass_z_diff
1,ECUADOR,QATAR,1.5720506141752655,-1.5720506141752655,offensive_efficiency,20 NOV 2022,Group A,-1.77705279720049,-1.4242555900375131,-2.1041594624732616,-0.982734606989797
2,ENGLAND,IRAN,0.31609635071634706,0.31609635071634706,offensive_efficiency,21 NOV 2022,Group B,1.127745044377234,0.4069301685821466,0.6878982858085662,-0.9581880959025588
3,NETHERLANDS,SENEGAL,1.0461623881002278,-1.0461623881002278,offensive_efficiency,21 NOV 2022,Group A,-1.1847018648003267,-1.4242555900375131,-0.5009903482079193,-1.0747017493551523
4,UNITED STATES,WALES,0.05444207386569314,0.05444207386569314,offensive_efficiency,21 NOV 2022,Group B,0.12693234265717784,1.4242555900375133,-1.1021787660574225,-0.23124087117449607
5,SAUDI ARABIA,ARGENTINA,1.922792569521064,-1.922792569521064,offensive_efficiency,22 NOV 2022,Group C,-3.1733085664294465,-1.7803194875468915,-1.0019806964158386,-1.7355615276920793
6,DENMARK,TUNISIA,0.28693083579180834,0.28693083579180834,offensive_efficiency,22 NOV 2022,Group D,0.0,0.0,1.1477233431672333,0.0
7,MEXICO,POLAND,0.19220687397592293,0.19220687397592293,offensive_efficiency,22 NOV 2022,Group C,0.0,0.0,0.7688274959036917,0.0
8,AUSTRALIA,FRANCE,0.07489674740003177,-0.07489674740003177,offensive_efficiency,22 NOV 2022,Group D,-0.3634880721546456,-0.91559287930983,0.28693083579180834,0.6925631260725402
9,CROATIA,MOROCCO,0.08767331093638588,-0.08767331093638588,offensive_efficiency,23 NOV 2022,Group F,0.0,0.0,-0.3506932437455435,0.0
10,JAPAN,GERMANY,0.8646535116513911,-0.8646535116513911,offensive_efficiency,23 NOV 2022,Group E,-0.8529853426562352,-1.1868796583645944,0.25249913549679137,-1.6712481810815263
11,SPAIN,COSTA RICA,1.8667450789759854,1.8667450789759854,offensive_efficiency,23 NOV 2022,Group E,2.195182867130017,2.13638338505627,1.7328372043897446,1.4025768593279107
12,BELGIUM,CANADA,0.5908639543862478,0.5908639543862478,offensive_efficiency,23 NOV 2022,Group F,0.5923509324001633,0.7121277950187566,0.6011884178495033,0.4577886722765683
13,SWITZERLAND,CAMEROON,0.4032401880542066,0.4032401880542066,offensive_efficiency,24 NOV 2022,Group G,0.6663947989501837,0.7121277950187566,-0.22544565669356362,0.45988381494144964
