source,target,weight,edge_count
ARGENTINA,FRANCE,1.0,1
ARGENTINA,NETHERLANDS,1.0,1
ARGENTINA,SAUDI ARABIA,3.0,1
AUSTRALIA,ARGENTINA,3.0,1
AUSTRALIA,FRANCE,3.0,1
BELGIUM,CROATIA,1.0,1
BELGIUM,MOROCCO,3.0,1
BRAZIL,CAMEROON,3.0,1
BRAZIL,CROATIA,1.0,1
CAMEROON,SERBIA,1.0,1
CAMEROON,SWITZERLAND,3.0,1
CANADA,BELGIUM,3.0,1
CANADA,CROATIA,3.0,1
CANADA,MOROCCO,3.0,1
COSTA RICA,GERMANY,3.0,1
COSTA RICA,SPAIN,3.0,1
CROATIA,ARGENTINA,3.0,1
CROATIA,BELGIUM,1.0,1
CROATIA,BRAZIL,1.0,1
CROATIA,JAPAN,1.0,1
CROATIA,MOROCCO,1.0,1
DENMARK,AUSTRALIA,3.0,1
DENMARK,FRANCE,3.0,1
DENMARK,TUNISIA,1.0,1
ECUADOR,NETHERLANDS,1.0,1
ECUADOR,SENEGAL,3.0,1
ENGLAND,FRANCE,3.0,1
ENGLAND,UNITED STATES,1.0,1
FRANCE,ARGENTINA,1.0,1
FRANCE,TUNISIA,3.0,1
GERMANY,JAPAN,3.0,1
GERMANY,SPAIN,1.0,1
GHANA,PORTUGAL,3.0,1
GHANA,URUGUAY,3.0,1
IRAN,ENGLAND,3.0,1
IRAN,UNITED STATES,3.0,1
JAPAN,COSTA RICA,3.0,1
JAPAN,CROATIA,1.0,1
KOREA REPUBLIC,BRAZIL,3.0,1
KOREA REPUBLIC,GHANA,3.0,1
KOREA REPUBLIC,URUGUAY,1.0,1
MEXICO,ARGENTINA,3.0,1
MEXICO,POLAND,1.0,1
MOROCCO,CROATIA,4.0,2
MOROCCO,FRANCE,3.0,1
MOROCCO,SPAIN,1.0,1
NETHERLANDS,ARGENTINA,1.0,1
NETHERLANDS,ECUADOR,1.0,1
POLAND,ARGENTINA,3.0,1
POLAND,FRANCE,3.0,1
POLAND,MEXICO,1.0,1
PORTUGAL,KOREA REPUBLIC,3.0,1
PORTUGAL,MOROCCO,3.0,1
QATAR,ECUADOR,3.0,1
QATAR,NETHERLANDS,3.0,1
QATAR,SENEGAL,3.0,1
SAUDI ARABIA,MEXICO,3.0,1
SAUDI ARABIA,POLAND,3.0,1
SENEGAL,ENGLAND,3.0,1
SENEGAL,NETHERLANDS,3.0,1
SERBIA,BRAZIL,3.0,1
SERBIA,CAMEROON,1.0,1
SERBIA,SWITZERLAND,3.0,1
SPAIN,GERMANY,1.0,1
SPAIN,JAPAN,3.0,1
SPAIN,MOROCCO,1.0,1
SWITZERLAND,BRAZIL,3.0,1
SWITZERLAND,PORTUGAL,3.0,1
TUNISIA,AUSTRALIA,3.0,1
TUNISIA,DENMARK,1.0,1
UNITED STATES,ENGLAND,1.0,1
UNITED STATES,NETHERLANDS,3.0,1
UNITED STATES,WALES,1.0,1
URUGUAY,KOREA REPUBLIC,1.0,1
URUGUAY,PORTUGAL,3.0,1
WALES,ENGLAND,3.0,1
WALES,IRAN,3.0,1
WALES,UNITED STATES,1.0,1
