match_id,date,stage,team1_goals,team2_goals,goal_margin,source,target,weight,result
1,20 NOV 2022,Group A,0,2,2,QATAR,ECUADOR,3.0,win
2,21 NOV 2022,Group B,6,2,4,IRAN,ENGLAND,3.0,win
3,21 NOV 2022,Group A,0,2,2,SENEGAL,NETHERLANDS,3.0,win
4,21 NOV 2022,Group B,1,1,0,UNITED STATES,WALES,1.0,draw
4,21 NOV 2022,Group B,1,1,0,WALES,UNITED STATES,1.0,draw
5,22 NOV 2022,Group C,1,2,1,ARGENTINA,SAUDI ARABIA,3.0,win
6,22 NOV 2022,Group D,0,0,0,DENMARK,TUNISIA,1.0,draw
6,22 NOV 2022,Group D,0,0,0,TUNISIA,DENMARK,1.0,draw
7,22 NOV 2022,Group C,0,0,0,MEXICO,POLAND,1.0,draw
7,22 NOV 2022,Group C,0,0,0,POLAND,MEXICO,1.0,draw
8,22 NOV 2022,Group D,4,1,3,AUSTRALIA,FRANCE,3.0,win
9,23 NOV 2022,Group F,0,0,0,MOROCCO,CROATIA,1.0,draw
9,23 NOV 2022,Group F,0,0,0,CROATIA,MOROCCO,1.0,draw
10,23 NOV 2022,Group E,1,2,1,GERMANY,JAPAN,3.0,win
11,23 NOV 2022,Group E,7,0,7,COSTA RICA,SPAIN,3.0,win
12,23 NOV 2022,Group F,1,0,1,CANADA,BELGIUM,3.0,win
13,24 NOV 2022,Group G,1,0,1,CAMEROON,SWITZERLAND,3.0,win
14,24 NOV 2022,Group H,0,0,0,URUGUAY,KOREA REPUBLIC,1.0,draw
14,24 NOV 2022,Group H,0,0,0,KOREA REPUBLIC,URUGUAY,1.0,draw
15,24 NOV 2022,Group H,3,2,1,GHANA,PORTUGAL,3.0,win
16,24 NOV 2022,Group G,2,0,2,SERBIA,BRAZIL,3.0,win
17,25 NOV 2022,Group B,0,2,2,WALES,IRAN,3.0,win
18,25 NOV 2022,Group A,1,3,2,QATAR,SENEGAL,3.0,win
19,25 NOV 2022,Group A,1,1,0,NETHERLANDS,ECUADOR,1.0,draw
19,25 NOV 2022,Group A,1,1,0,ECUADOR,NETHERLANDS,1.0,draw
20,25 NOV 2022,Group B,0,0,0,ENGLAND,UNITED STATES,1.0,draw
20,25 NOV 2022,Group B,0,0,0,UNITED STATES,ENGLAND,1.0,draw
21,26 NOV 2022,Group D,0,1,1,TUNISIA,AUSTRALIA,3.0,win
22,26 NOV 2022,Group C,2,0,2,SAUDI ARABIA,POLAND,3.0,win
23,26 NOV 2022,Group D,2,1,1,DENMARK,FRANCE,3.0,win
24,26 NOV 2022,Group C,2,0,2,MEXICO,ARGENTINA,3.0,win
25,27 NOV 2022,Group E,0,1,1,JAPAN,COSTA RICA,3.0,win
26,27 NOV 2022,Group F,0,2,2,BELGIUM,MOROCCO,3.0,win
27,27 NOV 2022,Group F,4,1,3,CANADA,CROATIA,3.0,win
28,27 NOV 2022,Group E,1,1,0,SPAIN,GERMANY,1.0,draw
28,27 NOV 2022,Group E,1,1,0,GERMANY,SPAIN,1.0,draw
29,28 NOV 2022,Group G,3,3,0,CAMEROON,SERBIA,1.0,draw
29,28 NOV 2022,Group G,3,3,0,SERBIA,CAMEROON,1.0,draw
30,28 NOV 2022,Group H,2,3,1,KOREA REPUBLIC,GHANA,3.0,win
