team,style_community,style_community_label
ARGENTINA,3,GERMANY
AUSTRALIA,1,COSTA RICA
BELGIUM,4,PORTUGAL
BRAZIL,3,GERMANY
CAMEROON,1,COSTA RICA
CANADA,1,COSTA RICA
COSTA RICA,1,COSTA RICA
CROATIA,2,DENMARK
DENMARK,2,DENMARK
ECUADOR,1,COSTA RICA
ENGLAND,4,PORTUGAL
FRANCE,3,GERMANY
GERMANY,3,GERMANY
GHANA,1,COSTA RICA
IRAN,1,COSTA RICA
JAPAN,1,COSTA RICA
KOREA REPUBLIC,4,PORTUGAL
MEXICO,3,GERMANY
MOROCCO,1,COSTA RICA
NETHERLANDS,1,COSTA RICA
POLAND,1,COSTA RICA
PORTUGAL,4,PORTUGAL
QATAR,1,COSTA RICA
SAUDI ARABIA,1,COSTA RICA
SENEGAL,1,COSTA RICA
SERBIA,1,COSTA RICA
SPAIN,2,DENMARK
SWITZERLAND,1,COSTA RICA
TUNISIA,1,COSTA RICA
UNITED STATES,2,DENMARK
URUGUAY,1,COSTA RICA
WALES,1,COSTA RICA
