team,possession,total attempts,on target attempts,attempts inside the penalty area,attempts outside the penalty area,passes,passes completed,crosses,crosses completed,switches of play completed,corners,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,forced turnovers,defensive pressures applied,pass_completion_rate,cross_completion_rate,shot_accuracy
ARGENTINA,51.142857142857146,14.857142857142858,6.857142857142857,9.428571428571429,5.428571428571429,625.0,548.7142857142857,16.428571428571427,4.285714285714286,5.428571428571429,5.571428571428571,187.0,130.57142857142858,24.142857142857142,13.571428571428571,70.57142857142857,241.14285714285714,0.8721791421483385,0.23579852003497323,0.46204081632653055
AUSTRALIA,31.25,6.25,2.25,3.25,3.0,384.0,301.5,14.5,2.5,4.0,2.0,154.0,87.0,15.75,7.75,76.75,345.75,0.7680762146884837,0.17782169521299956,0.35
BELGIUM,49.666666666666664,11.333333333333334,3.6666666666666665,7.666666666666667,3.6666666666666665,593.0,522.6666666666666,17.0,5.333333333333333,4.666666666666667,5.666666666666667,167.0,112.33333333333333,17.333333333333332,7.666666666666667,60.0,274.6666666666667,0.8798562086058905,0.37207602339181284,0.3333333333333333
BRAZIL,50.4,18.0,8.2,11.4,6.6,601.8,539.2,23.2,4.8,5.6,7.4,181.4,131.8,18.2,11.4,72.2,295.4,0.8956849215891328,0.2042431720326457,0.4676023391812866
CAMEROON,38.333333333333336,9.0,4.666666666666667,6.666666666666667,2.3333333333333335,386.3333333333333,311.3333333333333,17.333333333333332,2.6666666666666665,5.666666666666667,4.0,166.33333333333334,91.0,18.0,7.666666666666667,80.0,307.3333333333333,0.8008916620103061,0.16666666666666666,0.4908424908424909
CANADA,47.0,11.666666666666666,2.0,7.333333333333333,4.333333333333333,499.3333333333333,429.3333333333333,18.0,5.0,5.333333333333333,4.0,176.66666666666666,116.0,19.666666666666668,9.0,61.666666666666664,286.6666666666667,0.859229790920104,0.2830409356725146,0.13756613756613756
COSTA RICA,27.666666666666668,4.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,340.6666666666667,270.0,7.333333333333333,1.0,4.0,0.3333333333333333,142.33333333333334,82.0,9.333333333333334,2.6666666666666665,73.66666666666667,419.0,0.7822441532816172,0.08333333333333333,0.3333333333333333
CROATIA,48.0,11.571428571428571,4.0,6.714285714285714,4.857142857142857,610.2857142857143,532.0,23.285714285714285,5.142857142857143,9.428571428571429,4.285714285714286,197.71428571428572,136.28571428571428,19.0,10.0,78.28571428571429,301.85714285714283,0.8710744471811881,0.21643882433356115,0.33757512328940903
DENMARK,53.0,11.666666666666666,3.0,7.666666666666667,4.0,593.6666666666666,521.0,25.666666666666668,6.333333333333333,11.333333333333334,7.0,201.33333333333334,146.66666666666666,21.666666666666668,14.666666666666666,70.33333333333333,223.0,0.8778661465439864,0.2496141975308642,0.2593073593073593
ECUADOR,46.666666666666664,9.0,4.0,5.666666666666667,3.3333333333333335,445.6666666666667,369.0,18.333333333333332,4.666666666666667,4.0,3.6666666666666665,152.0,86.66666666666667,15.0,6.333333333333333,61.0,249.33333333333334,0.8269925562817719,0.2611073137388927,0.4615384615384615
ENGLAND,57.8,12.0,5.4,8.4,3.6,610.4,544.6,18.8,6.0,8.6,5.0,188.8,138.6,18.0,11.2,56.0,199.0,0.8914120708694735,0.32389972391318467,0.450759534583064
FRANCE,44.857142857142854,14.428571428571429,5.0,10.428571428571429,4.0,522.2857142857143,456.0,20.857142857142858,7.0,4.0,5.428571428571429,152.14285714285714,103.0,17.714285714285715,11.714285714285714,74.85714285714286,283.7142857142857,0.8678088947931589,0.34377510573162745,0.3675917336631622
GERMANY,52.666666666666664,22.333333333333332,8.0,15.333333333333334,7.0,633.0,561.6666666666666,26.333333333333332,7.333333333333333,3.6666666666666665,8.333333333333334,192.33333333333334,142.33333333333334,24.666666666666668,17.333333333333332,77.66666666666667,260.3333333333333,0.8712029905015194,0.23804704067861962,0.36791666666666667
GHANA,37.666666666666664,8.333333333333334,3.3333333333333335,4.333333333333333,4.0,391.0,321.0,15.0,3.0,2.6666666666666665,4.333333333333333,153.33333333333334,88.33333333333333,12.333333333333334,4.666666666666667,83.0,299.3333333333333,0.8206744689491895,0.21923076923076923,0.39814814814814814
IRAN,31.333333333333332,11.666666666666666,3.6666666666666665,6.0,5.666666666666667,327.3333333333333,245.0,17.333333333333332,2.6666666666666665,6.333333333333333,2.6666666666666665,160.33333333333334,79.66666666666667,18.0,7.333333333333333,73.0,329.0,0.7302734255835804,0.1485042735042735,0.33134920634920634
JAPAN,29.75,10.5,3.25,6.5,4.0,398.25,324.5,16.75,3.25,2.75,4.75,151.0,84.5,18.5,8.5,79.75,457.25,0.8001194202397548,0.24015231092436976,0.3369047619047619
KOREA REPUBLIC,42.25,12.25,4.5,7.0,5.25,466.5,401.75,23.0,5.75,11.75,6.0,178.25,117.0,18.0,11.75,60.5,284.75,0.857111787959733,0.2019796564991073,0.3464285714285714
MEXICO,48.333333333333336,14.0,5.0,7.0,7.0,417.6666666666667,348.3333333333333,28.0,6.0,5.0,5.333333333333333,165.0,101.33333333333333,26.0,13.333333333333334,72.0,249.66666666666666,0.8306056162156428,0.21806298276886513,0.31923076923076926
MOROCCO,34.857142857142854,8.714285714285714,2.4285714285714284,4.857142857142857,3.857142857142857,384.2857142857143,317.0,12.285714285714286,2.7142857142857144,8.285714285714286,1.7142857142857142,142.42857142857142,85.14285714285714,14.857142857142858,7.142857142857143,77.71428571428571,359.42857142857144,0.8122506391653272,0.2511080189651618,0.29933162076019215
NETHERLANDS,45.0,8.0,3.2,5.0,3.0,560.8,488.4,15.8,3.4,4.4,3.8,174.0,120.2,15.2,7.4,82.4,310.0,0.8618146956831685,0.1800839160839161,0.41729603729603726
POLAND,31.75,7.75,1.75,6.25,1.5,353.0,282.25,13.0,4.75,4.75,2.75,143.25,82.25,14.75,6.75,67.5,338.5,0.794866249724668,0.35248538011695907,0.19318181818181818
PORTUGAL,54.2,12.4,5.0,6.4,6.0,595.4,523.0,20.4,5.4,9.8,5.6,175.6,120.0,19.4,12.6,60.6,253.4,0.8769228112751547,0.2797428062133944,0.3978354978354978
QATAR,40.666666666666664,7.0,2.0,2.6666666666666665,4.333333333333333,444.3333333333333,376.0,14.333333333333334,4.333333333333333,10.333333333333334,3.0,157.0,103.33333333333333,12.333333333333334,7.0,57.0,295.3333333333333,0.8458672120140859,0.32407407407407407,0.2888888888888889
SAUDI ARABIA,36.666666666666664,9.666666666666666,3.0,6.0,3.6666666666666665,374.6666666666667,293.6666666666667,14.0,2.6666666666666665,7.0,2.6666666666666665,173.33333333333334,102.33333333333333,19.666666666666668,10.333333333333334,71.66666666666667,267.6666666666667,0.7523510024446353,0.2037037037037037,0.39305555555555555
SENEGAL,39.75,12.75,3.5,8.0,4.75,389.0,319.0,18.0,5.25,7.75,5.5,161.75,93.0,19.0,10.75,66.5,269.25,0.8095956766701359,0.2872975708502024,0.2702380952380952
SERBIA,42.666666666666664,10.333333333333334,3.3333333333333335,7.333333333333333,3.0,464.0,388.0,19.666666666666668,4.333333333333333,6.0,3.0,160.33333333333334,102.66666666666667,15.666666666666666,7.666666666666667,75.33333333333333,282.6666666666667,0.836512052714323,0.221850613154961,0.24621212121212122
