points_rank,team,matches,wins,draws,losses,points,goals_for,goals_against,goal_diff,max_stage_order,avg_possession,avg_total_attempts,avg_on_target_attempts,avg_passes_completed,avg_pass_completion_rate,avg_corners,avg_completed_line_breaks,avg_forced_turnovers,avg_defensive_pressures,avg_goals_per_attempt,avg_goals_per_on_target,avg_shot_accuracy,stage_reached,outcome_pagerank,outcome_pagerank_rank,stat_pagerank,stat_pagerank_rank,outcome_out_degree,outcome_in_degree,outcome_out_strength,outcome_in_strength,outcome_net_strength,stat_out_degree,stat_in_degree,stat_out_strength,stat_in_strength,stat_received_minus_dominant,offensive_out_degree,offensive_in_degree,offensive_out_strength,offensive_in_strength,offensive_received_minus_efficient,pressure_out_degree,pressure_in_degree,pressure_out_strength,pressure_in_strength,pressure_received_minus_recovery,style_community,style_community_label,stat_net_dominance,offensive_net_efficiency,pressure_net_recovery
1,FRANCE,7,5,1,1,16,16,8,8,6,44.857142857142854,14.428571428571429,5.0,456.0,0.8678088947931589,5.428571428571429,103.0,74.85714285714286,283.7142857142857,0.16137652030509173,0.47619047619047616,0.3675917336631622,Final,0.09495018099191514,2,0.05168346057063963,6,2,6,4.0,16.0,12.0,5,2,2.4296427436816566,0.6727317557218644,-1.7569109879597922,5,2,2.9596318621837203,0.9889220632964675,-1.9707097988872528,5,2,3.0198267101590606,0.38980820557777285,-2.6300185045812876,3,GERMANY,1.7569109879597922,1.9707097988872528,2.6300185045812876
2,ARGENTINA,7,4,2,1,14,15,8,7,6,51.142857142857146,14.857142857142858,6.857142857142857,548.7142857142857,0.8721791421483385,5.571428571428571,130.57142857142858,70.57142857142857,241.14285714285714,0.1814965986394558,0.4022501308215594,0.46204081632653055,Final,0.12083368546280562,1,0.08960646243476231,2,3,6,5.0,14.0,9.0,7,0,3.6228944458818293,0.0,-3.6228944458818293,3,4,3.841234633718488,3.2759824623002385,-0.5652521714182495,1,6,0.835865891273872,5.89714263192852,5.061276740654648,3,GERMANY,3.6228944458818293,0.5652521714182495,-5.061276740654648
3,NETHERLANDS,5,3,2,0,11,10,4,6,3,45.0,8.0,3.2,488.4,0.8618146956831685,3.8,120.2,82.4,310.0,0.3097591297591298,0.7333333333333333,0.41729603729603726,Quarter-final,0.04887643516116587,6,0.021290906494142687,17,2,5,2.0,11.0,9.0,1,4,0.6053405617816391,0.7901674386693442,0.18482687688770516,5,0,4.062691967421974,0.0,-4.062691967421974,5,0,2.907264920756852,0.0,-2.907264920756852,1,COSTA RICA,-0.18482687688770516,4.062691967421974,2.907264920756852
4,MOROCCO,7,3,2,2,11,6,5,1,5,34.857142857142854,8.714285714285714,2.4285714285714284,317.0,0.8122506391653272,1.7142857142857142,85.14285714285714,77.71428571428571,359.42857142857144,0.1030715316429602,0.3333333333333333,0.29933162076019215,Third-place match,0.03256847701707857,11,0.014942511546077146,25,3,5,8.0,11.0,3.0,0,6,0.0,1.6930563280074036,1.6930563280074036,4,2,3.134054203157942,1.3251435909660592,-1.8089106121918828,5,2,7.780002604998341,1.2109446629169984,-6.569057942081343,1,COSTA RICA,-1.6930563280074036,1.8089106121918828,6.569057942081343
5,ENGLAND,5,3,1,1,10,13,4,9,3,57.8,12.0,5.4,544.6,0.8914120708694735,5.0,138.6,56.0,199.0,0.21688752424046545,0.4404761904761904,0.450759534583064,Quarter-final,0.02237696582171919,20,0.10533605901382345,1,2,4,4.0,10.0,6.0,5,0,2.406815992629704,0.0,-2.406815992629704,4,1,3.0363355919677546,0.672429744751651,-2.3639058472161034,0,5,0.0,3.3884921625274504,3.3884921625274504,4,PORTUGAL,2.406815992629704,2.3639058472161034,-3.3884921625274504
6,BRAZIL,5,3,1,1,10,8,3,5,3,50.4,18.0,8.2,539.2,0.8956849215891328,7.4,131.8,72.2,295.4,0.09333333333333332,0.18707070707070708,0.4676023391812866,Quarter-final,0.02979806314145652,12,0.08472548488191438,3,2,4,4.0,10.0,6.0,5,0,2.802735593887235,0.0,-2.802735593887235,3,2,2.251695421920168,0.8016583857247973,-1.4500370361953707,0,5,0.0,2.0042062978449597,2.0042062978449597,3,GERMANY,2.802735593887235,1.4500370361953707,-2.0042062978449597
7,CROATIA,7,2,4,1,10,8,7,1,5,48.0,11.571428571428571,4.0,532.0,0.8710744471811881,4.285714285714286,136.28571428571428,78.28571428571429,301.85714285714283,0.08916579452293738,0.3071428571428571,0.33757512328940903,Third-place match,0.03550965227790894,9,0.04891747608218798,7,5,5,7.0,10.0,3.0,3,3,1.1918666805371567,0.5251658151905254,-0.6667008653466313,4,2,1.5926537053873566,1.6966121029818517,0.1039583975944951,3,4,0.9748561221878084,2.588179708470462,1.6133235862826538,2,DENMARK,0.6667008653466313,-0.1039583975944951,-1.6133235862826538
8,PORTUGAL,5,3,0,2,9,12,6,6,3,54.2,12.4,5.0,523.0,0.8769228112751547,5.6,120.0,60.6,253.4,0.18549783549783547,0.4033333333333333,0.3978354978354978,Quarter-final,0.027471786986650384,13,0.052561376013777,5,2,3,6.0,9.0,3.0,5,0,1.5943146806754522,0.0,-1.5943146806754522,3,2,2.1547577219006873,1.2522893216120043,-0.9024684002886829,1,4,0.8829155402941053,3.8170870274534043,2.9341714871592988,4,PORTUGAL,1.5943146806754522,0.9024684002886829,-2.9341714871592988
9,JAPAN,4,2,1,1,7,5,4,1,2,29.75,10.5,3.25,324.5,0.8001194202397548,4.75,84.5,79.75,457.25,0.15416666666666667,0.3958333333333333,0.3369047619047619,Round of 16,0.03353289396044952,10,0.016718815672661237,21,2,3,4.0,7.0,3.0,1,3,0.4538177355182489,1.3661662922992657,0.9123485567810168,3,1,2.3205975454004806,1.040291529354358,-1.2803060160461226,3,1,5.021012285824153,0.5228004129421355,-4.498211872882017,1,COSTA RICA,-0.9123485567810168,1.2803060160461226,4.498211872882017
10,SENEGAL,4,2,0,2,6,5,7,-2,2,39.75,12.75,3.5,319.0,0.8095956766701359,5.5,93.0,66.5,269.25,0.09583333333333333,0.2875,0.2702380952380952,Round of 16,0.02309304508895994,19,0.037671508334101905,8,2,2,6.0,6.0,0.0,3,1,0.5573315203936402,0.21068602550413154,-0.3466454948895087,2,2,0.9511453007207427,2.5503510798084066,1.599205779087664,2,2,1.035582409563235,0.5029977906565737,-0.5325846189066614,1,COSTA RICA,0.3466454948895087,-1.599205779087664,0.5325846189066614
11,AUSTRALIA,4,2,0,2,6,4,6,-2,2,31.25,6.25,2.25,301.5,0.7680762146884837,2.0,87.0,76.75,345.75,0.175,0.5625,0.35,Round of 16,0.05467297458901085,5,0.014942511546077146,25,2,2,6.0,6.0,0.0,0,4,0.0,2.573947734896849,2.573947734896849,4,0,1.675741834333281,0.0,-1.675741834333281,3,1,2.3523036676927025,0.004785853006547908,-2.3475178146861544,1,COSTA RICA,-2.573947734896849,1.675741834333281,2.3475178146861544
12,SWITZERLAND,4,2,0,2,6,5,9,-4,2,43.0,9.0,2.75,403.25,0.8469249007230852,5.0,106.25,70.0,287.5,0.10982142857142857,0.44047619047619047,0.24375,Round of 16,0.024193042193982963,17,0.018737532753166662,19,2,2,6.0,6.0,0.0,2,2,0.28234441505792973,0.9674391464491593,0.6850947313912296,2,2,0.7579505764230501,2.425077689674507,1.6671271132514571,2,2,0.2180727596753891,1.321900696456098,1.103827936780709,1,COSTA RICA,-0.6850947313912296,-1.6671271132514571,-1.103827936780709
13,SPAIN,4,1,2,1,5,9,3,6,2,69.0,12.75,4.0,881.75,0.9186532761488166,5.25,169.25,60.0,206.75,0.1565126050420168,0.3833333333333333,0.3186005171299289,Round of 16,0.02342157479599923,18,0.05384164056700723,4,3,3,5.0,5.0,0.0,4,0,2.567843981707868,0.0,-2.567843981707868,2,2,1.908558233258731,1.7447732167161656,-0.1637850165425654,0,4,0.0,8.084602297884292,8.084602297884292,2,DENMARK,2.567843981707868,0.1637850165425654,-8.084602297884292
14,UNITED STATES,4,1,2,1,5,3,4,-1,2,47.5,11.5,3.75,444.25,0.8735021182658724,5.5,123.25,73.25,287.5,0.07638888888888888,0.33571428571428574,0.29305555555555557,Round of 16,0.01335699236610655,24,0.02984891250574378,10,3,3,5.0,5.0,0.0,3,1,1.1187779161003344,0.060190555085850236,-1.0585873610144843,2,2,0.48165242841346645,1.1968809006804133,0.7152284722669469,3,1,0.968124052985927,0.9201809833498129,-0.047943069636114055,2,DENMARK,1.0585873610144843,-0.7152284722669469,0.047943069636114055
