points_rank,team,matches,wins,draws,losses,points,goals_for,goals_against,goal_diff,max_stage_order,avg_possession,avg_total_attempts,avg_on_target_attempts,avg_passes_completed,avg_pass_completion_rate,avg_corners,avg_completed_line_breaks,avg_forced_turnovers,avg_defensive_pressures,avg_goals_per_attempt,avg_goals_per_on_target,avg_shot_accuracy,stage_reached
1,FRANCE,7,5,1,1,16,16,8,8,6,44.857142857142854,14.428571428571429,5.0,456.0,0.8678088947931589,5.428571428571429,103.0,74.85714285714286,283.7142857142857,0.16137652030509173,0.47619047619047616,0.3675917336631622,Final
2,ARGENTINA,7,4,2,1,14,15,8,7,6,51.142857142857146,14.857142857142858,6.857142857142857,548.7142857142857,0.8721791421483385,5.571428571428571,130.57142857142858,70.57142857142857,241.14285714285714,0.1814965986394558,0.4022501308215594,0.46204081632653055,Final
3,NETHERLANDS,5,3,2,0,11,10,4,6,3,45.0,8.0,3.2,488.4,0.8618146956831685,3.8,120.2,82.4,310.0,0.3097591297591298,0.7333333333333333,0.41729603729603726,Quarter-final
4,MOROCCO,7,3,2,2,11,6,5,1,5,34.857142857142854,8.714285714285714,2.4285714285714284,317.0,0.8122506391653272,1.7142857142857142,85.14285714285714,77.71428571428571,359.42857142857144,0.1030715316429602,0.3333333333333333,0.29933162076019215,Third-place match
5,ENGLAND,5,3,1,1,10,13,4,9,3,57.8,12.0,5.4,544.6,0.8914120708694735,5.0,138.6,56.0,199.0,0.21688752424046545,0.4404761904761904,0.450759534583064,Quarter-final
6,BRAZIL,5,3,1,1,10,8,3,5,3,50.4,18.0,8.2,539.2,0.8956849215891328,7.4,131.8,72.2,295.4,0.09333333333333332,0.18707070707070708,0.4676023391812866,Quarter-final
7,CROATIA,7,2,4,1,10,8,7,1,5,48.0,11.571428571428571,4.0,532.0,0.8710744471811881,4.285714285714286,136.28571428571428,78.28571428571429,301.85714285714283,0.08916579452293738,0.3071428571428571,0.33757512328940903,Third-place match
8,PORTUGAL,5,3,0,2,9,12,6,6,3,54.2,12.4,5.0,523.0,0.8769228112751547,5.6,120.0,60.6,253.4,0.18549783549783547,0.4033333333333333,0.3978354978354978,Quarter-final
9,JAPAN,4,2,1,1,7,5,4,1,2,29.75,10.5,3.25,324.5,0.8001194202397548,4.75,84.5,79.75,457.25,0.15416666666666667,0.3958333333333333,0.3369047619047619,Round of 16
10,SENEGAL,4,2,0,2,6,5,7,-2,2,39.75,12.75,3.5,319.0,0.8095956766701359,5.5,93.0,66.5,269.25,0.09583333333333333,0.2875,0.2702380952380952,Round of 16
11,AUSTRALIA,4,2,0,2,6,4,6,-2,2,31.25,6.25,2.25,301.5,0.7680762146884837,2.0,87.0,76.75,345.75,0.175,0.5625,0.35,Round of 16
12,SWITZERLAND,4,2,0,2,6,5,9,-4,2,43.0,9.0,2.75,403.25,0.8469249007230852,5.0,106.25,70.0,287.5,0.10982142857142857,0.44047619047619047,0.24375,Round of 16
13,SPAIN,4,1,2,1,5,9,3,6,2,69.0,12.75,4.0,881.75,0.9186532761488166,5.25,169.25,60.0,206.75,0.1565126050420168,0.3833333333333333,0.3186005171299289,Round of 16
14,UNITED STATES,4,1,2,1,5,3,4,-1,2,47.5,11.5,3.75,444.25,0.8735021182658724,5.5,123.25,73.25,287.5,0.07638888888888888,0.33571428571428574,0.29305555555555557,Round of 16
